9862	제약	1.00	0.51	34.57	0.04	6880	000020	동화약품
9863	운송장비·부품	-27.00	0.77	-1.87	-20.44	419	000040	KR모터스
9864	유통	157.00	0.27	8.92	2.27	7680	000050	경방
9865	금융	2803.00	0.37	27.95	4.67	89100	000070	삼양홀딩스
9866	음식료·담배	533.00	1.25	15.69	13.54	21100	000080	하이트진로
9867	제약	108.00	3.79	124.28	1.69	108000	000100	유한양행
9868	운송·창고	1572.00	0.49	8.36	3.63	91100	000120	CJ대한통운
9869	금융	569.00	0.40	5.93	9.50	11130	000140	하이트진로홀딩스
9870	금융	1104.00	7.37	-54.25	6.36	573000	000150	두산
9871	일반서비스	-22.00	0.20	-32.27	-1.07	1646	000180	성창기업지주
9872	화학	-1038.00	0.28	13.07	-2.29	51600	000210	DL
9873	제약	132.00	0.69	10.33	8.26	4585	000220	유유제약
9874	제약	-412.00	0.64	1.36	-14.46	7410	000230	일동홀딩스
9875	금융	1216.00	0.45	5.68	10.33	21000	000240	한국앤컴퍼니
9876	제약	20.00	13.55	-331.18	0.72	154000	000250	삼천당제약
9877	운송장비·부품	6017.00	0.71	4.08	17.12	99650	000270	기아
9878	운송장비·부품	7.00	3.69	0.27	5.78	1984	000300	DH오토넥스
9879	금융	460.00	0.69	6.48	5.29	24300	000320	노루홀딩스
9880	보험	862.00	0.31	2.56	19.04	5680	000370	한화손해보험
9881	화학	-48.00	0.49	10.91	-1.61	6210	000390	삼화페인트
9882	보험	78.00	0.71	23.27	2.31	1815	000400	롯데손해보험
9883	운송장비·부품	194.00	0.46	10.04	9.23	3825	000430	대원강업
9884	유통	-33.00	1.53	-103.29	-1.51	15700	000440	중앙에너비스
9885	비금속	-36.00	0.42	-110.60	-1.13	5530	000480	CR홀딩스
9886	기계·장비	586.00	0.63	-8.99	13.19	10560	000490	대동
9887	전기·전자	1077.00	1.36	19.33	13.87	62700	000500	가온전선
9888	제약	-419.00	1.35	-41.50	-21.22	11080	000520	삼일제약
9889	보험	1638.00	0.36	2.62	9.97	4290	000540	흥국화재
9890	금융	5043.00	0.32	3.38	7.34	90700	000590	CS홀딩스
9891	금융	2735.00	0.74	13.50	6.77	119800	000640	동아쏘시오홀딩스
9892	운송·창고	-2937.00	4.40	-14.83	-25.32	43550	000650	천일고속
9893	전기·전자	11136.00	2.69	10.34	41.75	281000	000660	SK하이닉스
9894	금속	15060.00	0.24	-3.37	30.81	44450	000670	영풍
9895	유통	-47.00	0.58	-7.19	-2.75	4010	000680	LS네트웍스
9896	일반서비스	81.00	0.48	9.98	2.51	6310	000700	유수홀딩스
9897	건설	1071.00	1.03	-48.93	5.98	73400	000720	현대건설
9898	유통	75.00	0.27	-57.20	0.62	12870	000760	이화산업
9899	보험	12026.00	1.30	10.69	15.71	438500	000810	삼성화재
