9335	AACG		0.14	2.78	5.89	ATA 크리에티비티 글로벌(ADR)	0.7970
9336	AAME	보험	0.09	0.49	26.67	애틀랜틱 아메리칸	2.4400
9337	AAOI	통신장비	3.87	4.48	6.73	어플라이드 옵토일렉트로닉스	26.0000
9338	AAON	건설 및 건축제품	1.90	7.43	39.14	에이에이온	74.4900
9339	AAPG		0.75	85.53	52.66	어센티지 파머 그룹 인터내셔널(ADR)	39.4700
9340	AAPL	컴퓨터전자장비/기기	6.41	47.30	33.01	애플	211.5100
9341	AARD		3.16	1.85	4.06	아드바크 테라퓨틱스	12.8201
9342	ABAT		0.85	2.37	2.08	아메리칸 배터리 테크놀로지	1.7602
9343	ABCL		0.57	1.05	6.32	앱셀레라 바이오로직스	3.5900
9344	ABEO	바이오	1.34	7.20	4.55	아베오나 테라퓨틱스	6.0900
9345	ABL		0.23	1.17	22.66	애버커스 글로벌 매니지먼트	5.2750
9346	ABLV		0.17	6.96	5.74	에이블 뷰 글로벌	1.0000
9347	ABNB		3.97	10.58	34.13	에어비앤비	135.6500
9348	ABOS		1.93	0.43	0.58	애커먼 파머슈티컬스	1.1150
9349	ABSI		0.93	1.73	2.91	압사이	2.6910
9350	ABTS		0.38	0.97	11.08	아비츠 그룹	4.2499
9351	ABUS	바이오	0.40	7.79	7.97	아버터스 바이오파머	3.2200
9352	ABVC		0.14	7.89	19.22	ABVC 바이오파머	2.7710
9353	ABVE		0.02	0.41	51.48	어버브 푸드 인그리디언츠	0.8494
9354	ABVX		3.02	11.92	2.61	아비박스(ADR)	7.9050
9355	ACAD	바이오	1.37	4.69	15.65	아카디아 파머슈티컬스	21.4900
9356	ACB		0.05	0.63	92.83	오로라 캐너비스	4.4000
9357	ACDC		1.49	1.28	5.29	프로프랙 홀딩	7.9100
9358	ACET		1.29	0.32	0.48	에이디셋 바이오	0.6223
9359	ACGL	보험	9.75	1.60	9.04	아치 캐피털 그룹	88.1700
